koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition,mission
33.51569,20.109414,1000.0,3.83,10.0,CANDIDATE,Transit
33.5116,20.10696,1000.0,2.89,10.0,CANDIDATE,Transit
33.513607,20.1081642,1000.0,2.47313225,10.0,CANDIDATE,Transit
33.515399,20.109239400000003,1000.0,2.03,10.0,CANDIDATE,Transit
3.96151,2.376906,1000.0,1.0,10.0,CONFIRMED,Transit
3.96165,2.37699,1000.0,1.48,10.0,CONFIRMED,Transit
6.97251,4.183506,1000.0,2.01,10.0,CANDIDATE,Transit
4.1698,2.5018800000000003,1000.0,1.04,10.0,CONFIRMED,Transit
4.16959,2.5017540000000005,1000.0,1.1,10.0,CONFIRMED,Transit
4.16888,2.501328,1000.0,1.41,10.0,CONFIRMED,Transit
12.3389,7.403340000000001,1000.0,2.11,10.0,CANDIDATE,Transit
12.339133,7.403479800000001,1000.0,2.59,10.0,CANDIDATE,Transit
2.89465,1.73679,1000.0,1.75,10.0,CANDIDATE,Transit
3.83794,2.3027640000000003,1000.0,1.51,10.0,CANDIDATE,Transit
5.24086,3.1445159999999994,1000.0,1.46,10.0,CANDIDATE,Transit
2790.0,1674.0,1000.0,12.2,10.0,CANDIDATE,Transit
8.91058,5.346348,1000.0,2.8,10.0,CANDIDATE,Transit
28.2692,16.96152,1000.0,3.35,10.0,CANDIDATE,Transit
28.270642,16.9623852,1000.0,2.79,10.0,CANDIDATE,Transit
28.2671,16.96026,1000.0,2.94,10.0,CANDIDATE,Transit
28.271761,16.9630566,1000.0,2.7100633,10.0,CANDIDATE,Transit
4.73172,2.8390320000000004,1000.0,1.7,10.0,CANDIDATE,Transit
0.782022,0.4692132,1000.0,1.58,10.0,CANDIDATE,Transit
0.78214992,0.46928995200000007,1000.0,1.29,10.0,CANDIDATE,Transit
15.4769,9.286140000000001,1000.0,2.89,10.0,CANDIDATE,Transit
6.4498648,3.86991888,1000.0,2.63,10.0,CANDIDATE,Transit
6.45027,3.870162,1000.0,2.29,10.0,CANDIDATE,Transit
1.19478,0.7168680000000001,1000.0,1.65,10.0,FALSE POSITIVE,Transit
1.5771832,0.94630992,1000.0,33.4,10.0,FALSE POSITIVE,Transit
1.57753,0.9465180000000002,1000.0,26.0,10.0,FALSE POSITIVE,Transit
4.4654,2.67924,1000.0,45.0,10.0,CANDIDATE,Transit
21.140574,12.6843444,1000.0,31.5,10.0,CANDIDATE,Transit
3.2923818,1.97542908,1000.0,19.6,10.0,CANDIDATE,Transit
6.90487,4.142922,1000.0,53.0,10.0,CANDIDATE,Transit
6.9055211,4.14331266,1000.0,33.6,10.0,CANDIDATE,Transit
1.696374,1.0178244,1000.0,35.3,10.0,CANDIDATE,Transit
3.046136,1.8276816000000002,1000.0,76.0,10.0,CANDIDATE,Transit
3.0459383,1.8275629800000002,1000.0,19.0,10.0,CANDIDATE,Transit
3.04622,1.8277320000000001,1000.0,29.0,10.0,CANDIDATE,Transit
