koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition,mission
6.0344667,1.89,1800.0,4.44029,10.0,CONFIRMED,TESS
9.6867516,2.512,1669.0,3.00336,10.0,CONFIRMED,TESS
2.1031647,5.059,7142.0,16.7087,10.0,CONFIRMED,TESS
7.6416041,2.654,6025.0,27.538,10.0,FALSE POSITIVE,TESS
5.9294088,2.933,10226.0,10.8101,10.0,FALSE POSITIVE,TESS
5.7484439,1.76,1041.0,2.35215,10.0,CONFIRMED,TESS
1.1967018,1.879,824.0,10.3239,10.0,FALSE POSITIVE,TESS
11.2464616,7.391,7576.0,17.6677,10.0,FALSE POSITIVE,TESS
2.5941968,0.861,907.0,4.47229,10.0,CONFIRMED,TESS
5.5411114,2.467,633.0,2.04482,10.0,CONFIRMED,TESS
10.6917268,3.002,535.0,1.79811,10.0,CONFIRMED,TESS
3.6950015,4.515,7655.0,14.1288,10.0,CANDIDATE,TESS
15.7335693,3.288,2540.0,24.3218,10.0,FALSE POSITIVE,TESS
45.9403293,3.768,14807.0,28.3312,10.0,CANDIDATE,TESS
2.2219839,1.996,4394.0,15.4416,10.0,FALSE POSITIVE,TESS
2.3106428,1.294,6911.0,8.76741,10.0,CONFIRMED,TESS
4.05135,2.4,1132.23,14.2359,10.0,FALSE POSITIVE,TESS
5.5376617,2.517,5390.0,15.6557,10.0,CONFIRMED,TESS
4.5960377,4.744,5000.0,16.2166,10.0,CONFIRMED,TESS
3.612771,4.142,11794.0,19.3662,10.0,CANDIDATE,TESS
3.6714717,2.149,4340.0,10.678,10.0,CONFIRMED,TESS
11.535076,8.555958,2389.90616,12.215808,10.0,CONFIRMED,TESS
0.8352406,1.043,2065.0,6.4875,10.0,FALSE POSITIVE,TESS
2.4919771,1.4338141,2093.9594201,2.2187585,10.0,CONFIRMED,TESS
25.5195307,6.6877451,558.3758637,2.9641461,10.0,CONFIRMED,TESS
1.3812115,2.7372191,117.7553083,2.2402361,10.0,CONFIRMED,TESS
2.3922703,9.0053425,63.575141,3.5905923,10.0,CONFIRMED,TESS
0.831542,1.985538,248.969585,1.881684,10.0,FALSE POSITIVE,TESS
