koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition
3.314947362,1.8007,1398.2,3.94,123.5,CONFIRMED
6.71969089,3.0231,969.7,4.37,45.4,FALSE POSITIVE
21.80451611,3.4097,1144.9,2.6,49.9,CONFIRMED
10.28194593,3.4366,1110.7,2.53,55.0,CONFIRMED
18.11993039,4.2309,1506.9,2.95,60.7,CONFIRMED
3.78402867,1.9012,426.1,1.7,25.6,CONFIRMED
5.15448142,3.228,697.5,2.94,48.1,CONFIRMED
5.743469797,3.4412,1240.2,3.13,79.7,CONFIRMED
39.4759093,2.968,1012.6,4.06,26.6,CANDIDATE
3.166353562,3.3129,1473.4,3.82,128.3,CONFIRMED
3.388012244,2.6849,280.1,2.11,30.6,CONFIRMED
5.83909761,3.1915,273.6,2.06,25.2,CONFIRMED
1.620467654,2.1888,159.6,1.57,22.7,CONFIRMED
10.6816951,3.605,307.8,2.3,21.9,CONFIRMED
3.187067566,3.119,1037.4,23.88,37.2,FALSE POSITIVE
5.826657508,2.9183,1539.1,4.09,81.1,CONFIRMED
12.41216347,3.739,611.3,2.58,25.6,CONFIRMED
18.74649011,3.895,796.8,3.05,26.7,CONFIRMED
20.86021229,5.1937,1910.5,5.5,117.0,CONFIRMED
42.63427848,6.1998,1719.3,5.22,78.7,CONFIRMED
87.6476068,8.871,1009.6,4.0,37.5,CONFIRMED
9.61731426,3.8692,234.0,1.94,18.2,CANDIDATE
9.467821474,2.4327,2237.0,2.13,124.7,CONFIRMED
0.893040969,1.0981,741.7,1.24,87.8,CONFIRMED
20.83426731,4.0454,988.4,2.74,45.1,CONFIRMED
9.94602357,3.3862,994.5,3.12,51.0,CONFIRMED
1.04562195,1.8955,213.0,1.45,25.3,CONFIRMED
5.71462396,2.336,297.8,1.78,16.7,CONFIRMED
102.9641952,15.735,1896.7,39.0,86.1,FALSE POSITIVE
8.14515981,5.073,446.8,3.43,32.2,CONFIRMED
18.9985279,4.529,430.7,43.17,16.9,CONFIRMED
4.24439049,3.282,174.0,2.07,15.1,CONFIRMED
90.1240507,11.649,3020.3,7.12,57.9,CANDIDATE
28.5742692,4.9427,824.9,2.32,97.1,CONFIRMED
0.689210173,1.6169,195.0,1.32,93.4,CANDIDATE
7.34373964,1.1784,574.4,1.84,32.2,CONFIRMED
0.445277068,3.539,186.7,35.74,28.9,FALSE POSITIVE
3.9886021,1.7376,673.5,34.39,37.1,CANDIDATE
0.525154153,2.1441,747.5,23.61,116.1,FALSE POSITIVE
1.303861044,4.0541,598.2,27.85,140.6,FALSE POSITIVE
2.55549176,9.083,113.8,23.35,24.3,FALSE POSITIVE
0.890110752,0.8774,321.5,1.25,19.6,FALSE POSITIVE
5.76573396,2.924,248.0,7.47,22.2,FALSE POSITIVE
7.42608123,3.6379,443.3,2.47,37.5,CONFIRMED
15.9868932,4.158,178.5,1.62,10.9,CONFIRMED
0.73094589,4.32,250.2,17.12,37.5,FALSE POSITIVE
18.92537246,3.9835,640.9,13.92,41.0,CONFIRMED
0.933749106,4.256,186.2,3.22,136.3,FALSE POSITIVE
2.037440623,3.442,118.6,1.19,27.0,FALSE POSITIVE
31.5925809,13.566,145.1,1.78,25.5,CONFIRMED
17.157236,11.284,110.4,1.55,23.6,CONFIRMED
